2017-05-08 22:54:09,611 mongodb.py[line:44] WARNING MongoDB delete all remarks.
2017-05-08 22:54:17,497 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b2c'), 'proxy': '49.86.62.53:808'}
2017-05-08 22:54:17,498 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b2d'), 'proxy': '113.121.245.132:808'}
2017-05-08 22:54:17,499 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b2e'), 'proxy': '119.145.251.134:80'}
2017-05-08 22:54:17,500 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b2f'), 'proxy': '117.30.111.237:3128'}
2017-05-08 22:54:17,501 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b30'), 'proxy': '43.226.162.27:80'}
2017-05-08 22:54:17,504 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b31'), 'proxy': '115.230.10.50:808'}
2017-05-08 22:54:17,505 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b32'), 'proxy': '182.45.117.158:808'}
2017-05-08 22:54:17,505 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b33'), 'proxy': '118.190.51.154:8118'}
2017-05-08 22:54:17,506 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b34'), 'proxy': '219.136.173.46:9797'}
2017-05-08 22:54:17,507 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b35'), 'proxy': '211.151.144.162:80'}
2017-05-08 22:54:17,508 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b36'), 'proxy': '123.1.180.233:8080'}
2017-05-08 22:54:17,509 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b37'), 'proxy': '110.73.171.245:8123'}
2017-05-08 22:54:17,509 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b38'), 'proxy': '115.220.7.233:808'}
2017-05-08 22:54:17,510 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b39'), 'proxy': '182.90.68.175:8123'}
2017-05-08 22:54:17,511 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b3a'), 'proxy': '122.5.135.94:808'}
2017-05-08 22:54:17,512 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b3b'), 'proxy': '221.229.44.63:808'}
2017-05-08 22:54:17,513 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b3c'), 'proxy': '175.155.141.61:808'}
2017-05-08 22:54:17,513 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b3d'), 'proxy': '218.67.60.214:8888'}
2017-05-08 22:54:17,514 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b3e'), 'proxy': '121.232.145.224:9000'}
2017-05-08 22:54:17,515 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b3f'), 'proxy': '103.238.202.103:8080'}
2017-05-08 22:54:17,516 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b40'), 'proxy': '139.209.60.34:8081'}
2017-05-08 22:54:17,516 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b41'), 'proxy': '118.80.100.237:8998'}
2017-05-08 22:54:17,517 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b42'), 'proxy': '110.189.222.234:808'}
2017-05-08 22:54:17,518 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b43'), 'proxy': '210.71.219.5:80'}
2017-05-08 22:54:17,519 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b44'), 'proxy': '113.251.93.0:8998'}
2017-05-08 22:54:17,520 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b45'), 'proxy': '49.86.62.232:808'}
2017-05-08 22:54:17,521 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b46'), 'proxy': '110.189.223.15:808'}
2017-05-08 22:54:17,521 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b47'), 'proxy': '114.99.22.175:808'}
